prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
86141798,수련활동서비스,Practice activity service,"심신수련을 위하여 체육, 문화, 오락, 레크레이션, 자연체험을 제공해 주는 서비스.",,
90101501,음식점서비스,Restaurants,음식점을 개점하여  방문하는 고객들에게 조리한 음식물을 제공하는 서비스.,,
90101603,출장음식서비스,Catering services,"파티, 오찬, 연회 등의 행사시에 지정한 장소에 출장하여 조리한 음식물을 제공하는 서비스.",,
90101699,커피구독서비스,Coffee subscription service,"커피원두, 커피머신 등 커피음용을 위한 상품을 수요기관에 정기적으로 제공해 주는 서비스.",,
90101799,구내식당서비스,Cafeteria services,"회사, 학교, 공공기관 등의 기관과 계약에 의하여 기관 내 구내식당을 설치하고 음식을 조리하여 제공하는 서비스.",,
90111599,숙박서비스,Lodging service,"호텔, 여관, 호스텔 등에서 숙박시설을 제공하는 서비스.(음식을 함께 제공하는 숙박시설 제공 서비스도 포함)",,
90121598,국외여행서비스,Foreign travel service,국외의 공무 출장·연수 및 수학여행 등에 필요한 여행서비스.,,
90121599,국내여행서비스,Domestic travel service,"국내 연수 및 여행을 위해 관련 시설 이용의 알선, 여행 안내 등 편의를 제공하는 서비스.",,
90131590,공연기획및대행서비스,Performance organization or management services,"뮤지컬, 연극무대 등 공연을 대행(기획 및 운영)해 주는 서비스.",,
90151598,오락관련용역,Recreation service,피로를 풀고 새로운 힘을 얻기 위하여 함께 모여 놀거나 운동 따위를 즐기는 활동과 관련된 용역.,,
90151890,축제기획및대행서비스,Carnival organization or management services,축제행사의 기획 및 운영을 대행해 주는 서비스.,,
91101599,건강또는건강조절시설,Health and fitness and rejuvenation facilities,"건강을 지키고 피로를 회복하기 위한 시설과 관련된 용역으로, 온천, 마사지, 에어로빅 등의 서비스도 이에 속함.",,
91101699,미용관련용역,Face and body and hair care and adornment,화장이나 머리손질 등으로 용모를 아름답게 매만지는 일과 관련된 용역.,,
91101999,패션상담용역,Fashion consulting services,의류의 착용을 세련되고 아름답게 돋보이도록 상담하여 주는 일과 관련된 용역.,,
91111502,세탁서비스,Laundry services,"옷이나 가죽에 묻은 오물을 물과 세제, 또는 용제 등을 이용하여 깨끗하게 세탁하는 일과 관련된 서비스.",,
91111699,가사보조관련용역,Household assistance and care services,"식사의 장만과 설거지, 의복의 조제, 빨래보관, 이부자리의 소제와 정리, 가옥, 가구, 정원 등의 관리와 같은 가사보조와 관련된 용역.",,
91111799,중고용품직거래관련용역,Used goods buying and bartering services,사용하다 쓸모가 없어진 중고 용품을 필요한 사람에게 팔거나 다른 물건으로 교환하는 일과 관련된 용역.,,
92101501,치안유지서비스,Policing services,"안녕과 질서를 유지하고 보전하는 치안과 관련된 용역으로, 폭동진압, 범죄예방과 같은 업무가 이에 속함.",,
92101799,집단수용시설관련용역,Jail and youth camps services,"구치소, 교도소 또는 야영지와 같이 많은 사람 또는 단체에 숙식을 제공하는 집단수용시설과 관련된 용역.",,
92101902,응급이송서비스,Ambulance services,"자동차, 선박 및 항공기 등으로 환자를 이송하고 그 과정에서 행해지는 응급치료 서비스 등",,
92101999,수색및구조관련용역,Search and rescue services,"재난을 당하여 위기에 빠진 사람을 수색하고 구조하는 용역으로, 인명구조 헬기의 운용도 이에 속함.",,
92121590,경호서비스,Protection services,"보디가드, 경호견 서비스, 경호 서비스 등 사람의 생명 및 신체를 위해로부터 보호해주는 서비스.",,
92121599,시설물경비서비스,Guard relevant services,"건물경비, 사업체보안, 순찰서비스 등과 같이 시설물의 경계, 재산보호 및 도난을 방지하는 서비스.",,
93141707,문화유산보존또는촉진서비스,Cultural heritage preservation or promotion services,문화유산의 보존을 위한 각종 활동과 관련된 용역.,,
93141789,국가유산발굴조사서비스,National heritage excavation services,매장된 국가유산을 발굴하고 그 결과에 대한 발굴조사 보고서를 작성하는 서비스.,,
93141790,국가유산지표조사서비스,National heritage survey indicators services,국가유산이 매장·분포되어 있는지를 확인하기 위해 시행되는 조사서비스.,,
93141797,국가유산수리보존서비스,National heritage repair services,"국가유산 가치유지 및 회복을 위한 수리, 보존처리 등의 서비스.",,
93142005,도시조명서비스,Urban lighting services,"야간의 도시를 조명으로 장식하여 아름답게 하거나, 시민 통행의 안전과 도시의 치안 등을 향상시키기 위하여 설치하는 조명과 관련된 용역.",,
93151599,공공기관관련용역,Public administration services,"국가의 투자와 특별한 법령에 의해 조직되고 운영되는 공공기관과 관련된 용역으로, 공기업의 민영화방안, 공기업의 통제 등의 업무가 이에 속함.",,
93151609,복권관련용역,Lotteries services,"복권은 공공기관 등에서 어떤 사업자금을 마련하기 위하여 발행하여 파는 당첨금이 따르는 표를 말하며, 이러한 복권과 관련된 용역.",,
98982611,"전지,발전기및동력전달장치 임대서비스",Batteries and generators and kinetic power transmission rental service,\중분류[2611] 전지,,
98984899,전문서비스용로봇임대서비스,Professional service robot rental service,전문적인 작업을 수행하거나 불특정 다수를 위한 서비스를 제공하는 로봇을 임대하는 서비스로 임대한 로봇의 유지관리 서비스도 포함함.,,
98985299,개인서비스용로봇 임대서비스,Personal service robots rental service,개인의 생활범주에서 제반서비스를 제공하는 로봇을 임대하는 서비스로 임대한 로봇의 유지관리 서비스도 포함함.,,
99101917,융복합해충및동물관리용품,Convergence pest control devices,"벌레나 동물들을 쫓아내거나 잡는 덫이나 함정 등 관리용품인 '해충및동물관리용품'과 다른 품명의 물품이 융복합된 물품.\r\n※ 복합상품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 말하며, 단순히 여러 상품을 일괄 발주하는 형태는 포함되지 않음.",,
99201016,융복합스크린및피딩장비,Convergence screens and feeding equipment,채굴된 광물을 고르게 걸르거나 공급하기 위한 장치의 '스크린및피딩장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99201017,융복합압쇄기파쇄기및연삭기,Convergence crushers and breakers and grinders,"충격력, 마찰력, 압축력 및 전단력 등에 의해 입자를 균일하게 부수는 장치의 '압쇄기파쇄기및연삭기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99201018,융복합기계화지상지원시스템,Convergence mechanized ground support systems,광산용 기계 중에서 지상에서 지원하는 장비나 장치류인 '기계화지상지원시스템'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99201020,융복합탐사및개발시스템,Convergence exploration and development systems,탐사나 개발에 사용할 목적으로 암석이나 지표면에 구멍을 뚫는 장비나 장치인 '탐사및개발시스템'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99201021,융복합착암기,Convergence rock drills,"암석을 폭파하기 위한 폭약을 장전하는 구멍(발파 구멍)을 뚫는 기계로서, 용도에 따라 레그드릴, 싱커, 드리프터 등으로 나누어지는데, 능률 향상과 진동 방해를 위하여 드리프터가 많이 쓰이며 그 중에서도 압축 공기로 작동하는 타격식(해머식)이 가장 널리 쓰이는 '착암기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
